"VDOT",1500,1609,3000,3218,5000,8000,8045,10000,15000,16090,20000,210975,25000,30000,421950
39,"00:06:44.00","00:07:17.00","00:14:21.00","00:15:29.00","00:24:39.00","00:40:33.00","00:40:48.00","00:51:09.00","1:18:47.00","1:24:59.00","1:47:10.00","1:53:24.00","2:15:49.00","2:44:32.00","3:54:34.00"
38,"00:06:54.00","00:07:27.00","00:14:41.00","00:15:49.00","00:25:12.00","00:41:27.00","00:41:42.00","00:52:17.00","1:20:33.00","1:26:54.00","1:49:33.00","1:55:55.00","2:18:48.00","2:48:06.00","3:59:35.00"
37,"00:07:04.00","00:07:38.00","00:15:01.00","00:16:11.00","00:25:46.00","00:42:24.00","00:42:39.00","00:53:29.00","1:22:24.00","1:28:53.00","1:52:03.00","1:58:34.00","2:21:55.00","2:51:51.00","4:04:50.00"
36,"00:07:14.00","00:07:49.00","00:15:23.00","00:16:34.00","00:26:22.00","00:43:23.00","00:43:39.00","00:54:44.00","1:24:20.00","1:30:58.00","1:54:40.00","2:01:19.00","2:25:11.00","2:55:45.00","4:10:19.00"
35,"00:07:25.00","00:08:01.00","00:15:45.00","00:16:58.00","00:27:00.00","00:44:26.00","00:44:42.00","00:56:03.00","1:26:22.00","1:33:09.00","1:57:24.00","2:04:13.00","2:28:36.00","2:59:51.00","4:16:03.00"
34,"00:07:37.00","00:08:14.00","00:16:09.00","00:17:24.00","00:27:39.00","00:45:31.00","00:45:48.00","00:57:26.00","1:28:30.00","1:35:27.00","2:00:17.00","2:07:16.00","2:32:12.00","3:04:08.00","4:22:03.00"
33,"00:07:49.00","00:08:27.00","00:16:33.00","00:17:50.00","00:28:21.00","00:46:41.00","00:46:58.00","00:58:54.00","1:30:45.00","1:37:52.00","2:03:18.00","2:10:27.00","2:35:58.00","3:08:39.00","4:28:22.00"
32,"00:08:02.00","00:08:41.00","00:16:59.00","00:18:18.00","00:29:05.00","00:47:54.00","00:48:11.00","1:00:26.00","1:33:07.00","1:40:25.00","2:06:29.00","2:13:49.00","2:39:56.00","3:13:23.00","4:34:59.00"
31,"00:08:15.00","00:08:55.00","00:17:27.00","00:18:48.00","00:29:51.00","00:49:10.00","00:49:28.00","1:02:03.00","1:35:36.00","1:43:05.00","2:09:50.00","2:17:21.00","2:44:06.00","3:18:22.00","4:41:57.00"
30,"00:08:30.00","00:09:11.00","00:17:56.00","00:19:19.00","00:30:40.00","00:50:32.00","00:50:50.00","1:03:46.00","1:38:14.00","1:45:55.00","2:13:21.00","2:21:04.00","2:48:29.00","3:23:37.00","4:49:17.00"
